Geneid	Chr	Start	End	Strand	Length	C7H8_ES_d10r1	C7H8_ES_d10r2	C7H8_ES_d10r3
Chic1	chrX	103356475	103396118	+	39644	0.221906116642959	0.211206896551724	0.155653450807636
Tsix	chrX	103431516	103484957	+	53442	0.0508376660889659	0.0639509417433202	0.0475778546712803
Xist	chrX;chrX	103460372;103460372	103483233;103483233	-;-	22862	0.947288365275588	0.939974554707379	0.947258187357197
Jpx	chrX	103493575	103506425	+	12851	0.1875	0.170731707317073	0.1875
Ftx	chrX;chrX	103560909;103569504	103623754;103623754	-;-	62846	0.068886337543054	0.0675675675675676	0.0660749506903353
Slc16a2	chrX	103697413	103821988	-	124576	0.0186915887850467	0.0196078431372549	0.0128205128205128
Rlim	chrX	103957166	103981284	-	24119	0.0719267654751526	0.0718399515004547	0.056307289393278
C77370	chrX	104077434	104201117	-	123684	0.064755838641189	0.0679824561403509	0.062874251497006
Abcb7	chrX	104280564	104413846	-	133283	0.109285714285714	0.122055674518201	0.0897932816537468
Uprt	chrX	104482781	104506262	+	23482	0	0	0
Zdhhc15	chrX	104536969	104671064	-	134096	0.029126213592233	0.0196399345335516	0.00396825396825397
5530601H04Rik	chrX	105040853	105070124	-	29272	0.418556701030928	0.383701188455009	0.387459807073955
Pbdc1	chrX;chrX	105079755;105079755	105117090;105085194	+;+	37336	0.228754676643506	0.22284003421728	0.20952868852459
Atrx	chrX	105797614	105929372	-	131759	0.112505058680696	0.12514827995255	0.124540669381269
Magt1	chrX;chrX	105968084;105968084	106011899;106011899	-;-	43816	0.0709677419354839	0.0814977973568282	0.0674846625766871
Cox7b	chrX	106015699	106022450	+	6752	0.136563876651982	0.156156156156156	0.168032786885246
Atp7a	chrX;chrX	106027223;106027223	106128160;106128160	+;+	100938	0.102173913043478	0.0910891089108911	0.0670391061452514
Pgk1	chrX	106187099	106203699	+	16601	0.0327272727272727	0.041343669250646	0.047808764940239
Taf9b	chrX;chrX	106206873;106206873	106221158;106219842	-;-	14286	0.0645161290322581	0	0
Fndc3c1	chrX	106420042	106485229	-	65188	0.0283687943262411	0.0122699386503067	0
Lpar4	chrX	106920624	106933899	+	13276	0.112676056338028	0.150485436893204	0.1640625
Itm2a	chrX	107397194	107403360	-	6167	0.0588235294117647	0.0344827586206897	0.16
2610002M06Rik	chrX	107782751	107816334	-	33584	0.0760233918128655	0.0897959183673469	0.0858369098712446
Brwd3	chrX	108742207	108834355	-	92149	0.127023661270237	0.13771186440678	0.143298969072165
2810403D21Rik	chrX	108834477	108886896	+	52420	0.106334841628959	0.134808853118712	0.0891566265060241
Hmgn5	chrX	109004536	109013380	-	8845	0.0454545454545455	0.111111111111111	0
Sh3bgrl	chrX	109095406	109162467	+	67062	0.0660660660660661	0.0403800475059382	0.0451977401129944
Rps6ka6	chrX	111387836	111537959	-	150124	0.0863849765258216	0.0770392749244713	0.0869061413673233
Apool	chrX	112311407	112372430	+	61024	0.407407407407407	0.333333333333333	0.357142857142857
Chm	chrX	113040591	113185515	-	144925	0.269441401971522	0.292497625830959	0.260343087790111
Dach2	chrX;chrX;chrX;chrX;chrX	113297509;113297509;113297509;113298255;113298255	113836386;113836386;113835091;113836386;113835091	+;+;+;+;+	538878	0.181818181818182	0.0909090909090909	0.142857142857143
Pcdh11x	chrX;chrX;chrX;chrX	120290326;120290326;120290326;120290326	120910618;120910618;120910618;120910618	+;+;+;+	620293	0.380952380952381	0.304347826086957	0.75
3110007F17Rik	chrX	123103558	123143293	+	39736	0.25	0.235294117647059	0.25
Diap2	chrX	129749741	130465833	+	716093	0.161833855799373	0.165364176305095	0.176388888888889
Cstf2	chrX;chrX;chrX	134059175;134059175;134059175	134086822;134086822;134075863	+;+;+	27648	0.274647887323944	0.242798353909465	0.228260869565217
Trmt2b	chrX;chrX;chrX	134222954;134222954;134262483	134276984;134276984;134276984	-;-;-	54031	0.173913043478261	0.0384615384615385	0.142857142857143
Cenpi	chrX	134308162	134362639	+	54478	0.281553398058252	0.242807825086306	0.183462532299742
Drp2	chrX	134404779	134456573	+	51795	0.222222222222222	0.0769230769230769	0.0769230769230769
Hnrnph2	chrX	134601285	134607054	+	5770	0.0387596899224806	0.031496062992126	0.0238095238095238
Armcx4	chrX	134686518	134697772	+	11255	0.0625	0.0597014925373134	0.0615384615384615
Armcx1	chrX;chrX;chrX;chrX;chrX	134717937;134717937;134717937;134717937;134717937	134721912;134721912;134721912;134721912;134721912	+;+;+;+;+	3976	0.0612244897959184	0.0779220779220779	0.0754716981132075
Armcx3	chrX	134756567	134761456	+	4890	0.5	0.5	0.25
Armcx2	chrX;chrX;chrX	134804141;134804141;134804141	134809221;134809221;134809221	-;-;-	5081	0.0333333333333333	0.012987012987013	0.0149253731343284
Zmat1	chrX	134971372	135009209	-	37838	0	0.0476190476190476	0.153846153846154
Gprasp1	chrX;chrX;chrX	135742691;135742691;135742691	135803468;135803468;135803468	+;+;+	60778	0.239620403321471	0.226449275362319	0.221333333333333
Gprasp2	chrX;chrX;chrX	135839033;135839033;135839033	135844730;135844730;135844730	+;+;+	5698	0.133333333333333	0.17741935483871	0.162790697674419
Bhlhb9	chrX;chrX	135885850;135885850	135891081;135891081	+;+	5232	0.207920792079208	0.154929577464789	0.111111111111111
Arxes2	chrX	135993819	135995359	+	1541	0.12	0.192982456140351	0.166666666666667
Bex2	chrX	136066564	136068236	-	1673	0.103448275862069	0.087719298245614	0.0666666666666667
Bex4	chrX	136139044	136140437	+	1394	0.307692307692308	0.243243243243243	0.244444444444444
Tceal8	chrX;chrX	136168983;136168983	136172251;136172251	-;-	3269	0	0.0184049079754601	0
Bex1	chrX	136213971	136215513	-	1543	0.0143540669856459	0.0275	0.0597014925373134
Wbp5	chrX	136245079	136247139	+	2061	0.0975609756097561	0.0769230769230769	0.0512820512820513
Morf4l2	chrX;chrX;chrX;chrX;chrX;chrX;chrX	136732947;136732947;136732947;136732947;136732947;136732947;136732947	136741352;136741352;136743686;136741155;136743686;136742918;136741609	-;-;-;-;-;-;-	10740	0.245404411764706	0.219483568075117	0.225035161744022
BC065397	chrX	136742956	136803361	+	60406	0.255681818181818	0.261037955073586	0.214655810510733
Plp1	chrX;chrX;chrX	136822745;136822745;136822745	136838582;136838582;136838582	+;+;+	15838	0.156862745098039	0.142857142857143	0.0555555555555556
Tmsb15l	chrX	136954987	136976874	-	21888	0	0	0.0454545454545455
Slc25a53	chrX;chrX	136981115;136981115	136993032;137038302	-;-	57188	0.227941176470588	0.235675675675676	0.174632352941176
Fam199x	chrX	137049593	137082501	+	32909	0.0744416873449131	0.0756756756756757	0.0804953560371517
Il1rapl2	chrX	137571548	138846955	+	1275408	0.0307692307692308	0.0197368421052632	0.027027027027027
Nrk	chrX	138914429	139009090	+	94662	0.0301507537688442	0.0539419087136929	0.0335820895522388
Mum1l1	chrX;chrX;chrX;chrX;chrX	139210043;139210043;139217165;139217165;139217165	139238335;139238335;139238335;139238335;139238335	+;+;+;+;+	28293	0.0416666666666667	0.0547945205479452	0.0175438596491228
C330013F16Rik	chrX;chrX	139240225;139347490	139356770;139357738	-;-	117514	0.0233160621761658	0.0191146881287726	0.0185185185185185
Rnf128	chrX;chrX	139563339;139610619	139673145;139673145	+;+	109807	0.192307692307692	0.201970443349754	0.159090909090909
Tbc1d8b	chrX	139684995	139754218	+	69224	0.0522875816993464	0.0738255033557047	0.0522875816993464
Morc4	chrX;chrX	139821634;139821634	139871654;139871654	-;-	50021	0.09375	0.122448979591837	0.0206185567010309
Rbm41	chrX;chrX;chrX;chrX	139889510;139941527;139941527;139941527	139998595;139998595;139998595;139998595	-;-;-;-	109086	0.229338842975207	0.214714714714715	0.166397415185784
Nup62cl	chrX	140007672	140062568	-	54897	0.192708333333333	0.13963963963964	0.10126582278481
Prps1	chrX	140456602	140476140	+	19539	0.263888888888889	0.218009478672986	0.264033264033264
Tsc22d3	chrX;chrX	140539528;140539528	140543185;140600522	-;-	60995	0.0833333333333333	0.25	0.0625
Mid2	chrX	140678027	140767715	+	89689	0.125	0	0.157894736842105
Psmd10	chrX;chrX	140948424;140948424	140956711;140956711	-;-	8288	0.294117647058824	0.289473684210526	0.183673469387755
Col4a6	chrX	141165402	141474076	-	308675	0.115384615384615	0.2	0.0769230769230769
Col4a5	chrX;chrX	141475418;141475418	141689235;141689235	+;+	213818	0.13	0.0344827586206897	0.102564102564103
Nxt2	chrX;chrX;chrX;chrX	142226769;142227936;142228176;142228702	142239700;142239700;142239700;142239700	+;+;+;+	12932	0.106382978723404	0.129032258064516	0.11
Acsl4	chrX;chrX;chrX	142317992;142317992;142317992	142390535;142390535;142390535	-;-;-	72544	0.0684326710816777	0.0703472840605521	0.0721153846153846
Tmem164	chrX;chrX;chrX	142681399;142681399;142681725	142843494;142838371;142838371	+;+;+	162096	0.0621761658031088	0.0522193211488251	0.036096256684492
Ammecr1	chrX	142853473	142966728	-	113256	0.165254237288136	0.175918018787361	0.144911504424779
Chrdl1	chrX;chrX	143285673;143297157	143394262;143394262	-;-	108590	0.0952380952380952	0	0
Pak3	chrX;chrX;chrX;chrX;chrX	143518590;143563263;143665744;143693286;143693286	143797796;143797796;143797796;143797796;143797796	+;+;+;+;+	279207	0.0516431924882629	0.0336842105263158	0.0491803278688525
Capn6	chrX	143802236	143827412	-	25177	0	0	0
Alg13	chrX;chrX	144317965;144317965	144374448;144325197	+;+	56484	0.199237038321484	0.197453851050286	0.138581952117864
Trpc5os	chrX	144456581	144477063	+	20483	0.021978021978022	0.0538461538461538	0.0217391304347826
Zcchc16	chrX	144688906	145122410	+	433505	0.775	0.927710843373494	0.855421686746988
Amot	chrX;chrX	145446423;145451867	145487639;145487639	-;-	41217	0.0560747663551402	0.0347222222222222	0.041025641025641
Lrch2	chrX	147471693	147554081	-	82389	0.0505902192242833	0.0541205412054121	0.0553571428571429
Tmem29	chrX;chrX;chrX	150397772;150397772;150408577	150459150;150441137;150440905	-;-;-	61379	0.151428571428571	0.149484536082474	0.132
Apex2	chrX	150571506	150588149	-	16644	0.0203665987780041	0.0186335403726708	0.0138504155124654
Pfkfb1	chrX	150589920	150643878	+	53959	0.0154639175257732	0.00956937799043062	0.00363636363636364
Tro	chrX;chrX;chrX;chrX;chrX	150644709;150644709;150644709;150644709;150644709	150657436;150657583;150657436;150657436;150657436	-;-;-;-;-	12875	0.0545454545454545	0.0714285714285714	0.0222222222222222
Maged2	chrX;chrX	150806420;150806420	150814339;150813703	-;-	7920	0.0238095238095238	0.0416666666666667	0.0277777777777778
Gnl3l	chrX;chrX	150983132;150983132	151017322;151017293	-;-	34191	0.0543933054393305	0.043010752688172	0.0385232744783307
Fgd1	chrX	151047169	151089686	+	42518	0.0671296296296296	0.0967741935483871	0.0481751824817518
Tsr2	chrX;chrX;chrX	151087093;151087093;151087093	151096543;151096543;151096543	-;-;-	9451	0.0559440559440559	0.146464646464646	0.126373626373626
Wnk3	chrX;chrX	151198077;151198077	151320192;151320192	+;+	122116	0.110236220472441	0.100858369098712	0.130389064143007
Fam120c	chrX	151344222	151474134	+	129913	0.128089887640449	0.130188679245283	0.128595600676819
Phf8	chrX;chrX	151520671;151520671	151633857;151625833	+;+	113187	0.265873015873016	0.22478386167147	0.220630372492837
Huwe1	chrX	151803281	151935417	+	132137	0.247195812413204	0.246617268041237	0.217733107771918
Hsd17b10	chrX	152001895	152004442	+	2548	0.0909090909090909	0.156862745098039	0.0857142857142857
Ribc1	chrX	152004583	152016295	-	11713	0	0.106382978723404	0.12962962962963
Smc1a	chrX	152016427	152061973	+	45547	0.178266178266178	0.209770114942529	0.172373081463991
Iqsec2	chrX;chrX	152144267;152179008	152225237;152225237	+;+	80971	0.103448275862069	0.1	0.0731707317073171
Kdm5c	chrX	152233226	152279099	+	45874	0.296809986130374	0.283114256825076	0.269547325102881
2900056M20Rik	chrX;chrX	152294823;152294823	152327493;152327493	-;-	32671	0.0916666666666667	0.0842105263157895	0.0764331210191083
Tspyl2	chrX	152336851	152342484	-	5634	0.0491803278688525	0.111764705882353	0.069620253164557
Gpr173	chrX	152344645	152368111	-	23467	0.0909090909090909	0.0714285714285714	0
3010001F23Rik	chrX;chrX	152368571;152369027	152416702;152416702	+;+	48132	0.0714285714285714	0.0909090909090909	0.384615384615385
Shroom2	chrX;chrX;chrX;chrX;chrX	152609508;152609508;152609508;152609508;152609508	152769486;152644149;152644548;152769486;152644548	-;-;-;-;-	159979	0.0450281425891182	0.0579937304075235	0.0477815699658703
Mageh1	chrX	153036165	153037563	-	1399	0	0.125	0.0909090909090909
9530051G07Rik	chrX	153037628	153072915	+	35288	0.142857142857143	0.15	0
Rragb	chrX	153139957	153171943	+	31987	0.0212014134275618	0.0191082802547771	0.0168918918918919
Klf8	chrX	153238044	153396134	+	158091	0.0754098360655738	0.077733860342556	0.0356371490280778
Ubqln2	chrX	153498231	153501558	+	3328	0.266666666666667	0.133333333333333	0.115384615384615
Kctd12b	chrX	153685153	153696280	-	11128	0.0512820512820513	0.0619469026548673	0.0375
2210013O21Rik	chrX	153723553	153741296	+	17744	0.120567375886525	0.13563829787234	0.142512077294686
Sat1	chrX;chrX	155213125;155213125	155216449;155216449	-;-	3325	0.156862745098039	0.228260869565217	0.109090909090909
Acot9	chrX	155262499	155297507	+	35009	0.113378684807256	0.137432188065099	0.0886203423967774
Prdx4	chrX	155323919	155338454	-	14536	0.0673575129533679	0.0672703751617076	0.0480961923847695
Ptchd1	chrX	155569735	155623327	-	53593	0.094017094017094	0.0954545454545455	0.037037037037037
Phex	chrX	157162074	157415286	-	253213	0.204225352112676	0.142105263157895	0.161016949152542
Sms	chrX	157443953	157492046	-	48094	0.231707317073171	0.254302103250478	0.224429727740986
Mbtps2	chrX	157547821	157598715	-	50895	0.277502477700694	0.256916996047431	0.264752791068581
Cnksr2	chrX	157821572	158043110	-	221539	0.0852534562211982	0.065979381443299	0.0752089136490251
Rps6ka3	chrX	159255781	159368244	+	112464	0.244256348246675	0.226890756302521	0.21045197740113
Eif1ax	chrX	159372194	159385699	+	13506	0.203076923076923	0.21501014198783	0.189944134078212
Map7d2	chrX	159414577	159498947	+	84371	0.116883116883117	0.127906976744186	0.125
A830080D01Rik	chrX	159532667	159593081	+	60415	0.193343122858541	0.198738773170266	0.162275198661648
Sh3kbp1	chrX;chrX;chrX;chrX;chrX;chrX;chrX	159627271;159708600;159708600;159708600;159840467;159942692;159942692	159975920;159975920;159975920;159975920;159975920;159975920;159975920	+;+;+;+;+;+;+	348650	0.0707547169811321	0.0569744597249509	0.0475504322766571
Map3k15	chrX	159988432	160123351	+	134920	0.0423728813559322	0.0820512820512821	0.0466830466830467
Pdha1	chrX	160122218	160138336	-	16119	0.115577889447236	0.0962406015037594	0.0898502495840266
Gpr64	chrX;chrX;chrX;chrX;chrX;chrX	160390689;160390689;160390689;160390689;160390689;160390689	160498076;160498076;160498076;160498076;160498076;160498076	+;+;+;+;+;+	107388	0.0588235294117647	0.075	0.0588235294117647
Phka2	chrX;chrX;chrX	160502165;160502433;160502433	160591722;160598878;160591722	+;+;+	96714	0.150943396226415	0.16888045540797	0.129699248120301
Cdkl5	chrX	160784307	160994681	-	210375	0.11036036036036	0.137992831541219	0.120408163265306
Scml2	chrX;chrX;chrX	161162749;161162749;161162771	161258213;161258213;161258213	+;+;+	95465	0.040983606557377	0.0592105263157895	0.0645161290322581
Rai2	chrX;chrX	161717035;161717552	161779494;161779494	+;+	62460	0	0.0909090909090909	0.2
Nhs	chrX;chrX	161836429;161836429	162159441;162159441	-;-	323013	0.0242424242424242	0.0177165354330709	0.0337837837837838
Reps2	chrX;chrX	162411951;162411951	162643658;162643658	-;-	231708	0.0526315789473684	0.0619469026548673	0.0649350649350649
Rbbp7	chrX	162760371	162779090	+	18720	0.185639229422067	0.166043380703067	0.125
Txlng	chrX;chrX;chrX;chrX	162778916;162778916;162788789;162788789	162829454;162829454;162829454;162829454	-;-;-;-	50539	0.294027565084227	0.284704370179949	0.215922107674685
Syap1	chrX	162856842	162888462	-	31621	0.242857142857143	0.262672811059908	0.184331797235023
Ctps2	chrX;chrX;chrX;chrX;chrX	162901559;162901594;162901594;162901594;162902170	163034541;163034541;163034541;163034541;163034541	+;+;+;+;+	132983	0.0964285714285714	0.0947075208913649	0.104743083003953
Ap1s2	chrX;chrX;chrX	163909016;163909016;163909016	163933666;163929546;163933666	+;+;+	24651	0.474358974358974	0.474537037037037	0.437062937062937
Zrsr2	chrX;chrX	163935442;163950385	163958666;163958666	-;-	23225	0.286069651741294	0.267504488330341	0.217002237136465
Car5b	chrX	163976821	164028010	-	51190	0.153846153846154	0.08	0.0357142857142857
Siah1b	chrX	164070702	164076049	-	5348	0.269230769230769	0.297169811320755	0.225988700564972
Pir	chrX	164269430	164373013	+	103584	0.11957950065703	0.142557651991614	0.0970873786407767
Figf	chrX	164373547	164402647	+	29101	0.113924050632911	0.0735294117647059	0.0617283950617284
Piga	chrX	164419786	164433915	+	14130	0.285714285714286	0.307462686567164	0.256410256410256
Mospd2	chrX;chrX;chrX	164936170;164936170;164936170	164980375;164980375;164980375	-;-;-	44206	0.165137614678899	0.185483870967742	0.136038186157518
Fancb	chrX;chrX	164980591;164980591	164997272;164997272	+;+	16682	0.103333333333333	0.090146750524109	0.0964125560538117
Gemin8	chrX	166170479	166190512	+	20034	0.235897435897436	0.232558139534884	0.200743494423792
Gpm6b	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	166238942;166238942;166238942;166344552;166344552;166344552;166344552;166344552;166344552	166389033;166389033;166389033;166389033;166389033;166389033;166389033;166389033;166389033	+;+;+;+;+;+;+;+;+	150092	0.1484375	0.155844155844156	0.174603174603175
Ofd1	chrX	166390032	166440704	-	50673	0.209884467265725	0.234010907288052	0.184713375796178
Trappc2	chrX	166440824	166452543	+	11720	0.380952380952381	0.228260869565217	0.191489361702128
Rab9	chrX	166457251	166479867	-	22617	0.324742268041237	0.304659498207885	0.266666666666667
Tceanc	chrX	166499814	166510478	-	10665	0.213483146067416	0.222222222222222	0.152173913043478
Tmsb4x	chrX	167207093	167209218	-	2126	0.0810810810810811	0.0967741935483871	0.0833333333333333
Prps2	chrX	167346332	167382699	-	36368	0.0555555555555556	0.0718954248366013	0.100917431192661
Frmpd4	chrX;chrX;chrX	167471305;167471305;167471305	168577233;168122997;167855077	-;-;-	1105929	0.16	0.119047619047619	0.21875
Msl3	chrX	168653098	168673902	-	20805	0.0918367346938776	0.0952380952380952	0.0769230769230769
Arhgap6	chrX;chrX;chrX;chrX	168795098;169036610;169036610;169112877	169304440;169304440;169304440;169304440	+;+;+;+	509343	0.0268096514745308	0.0167014613778706	0.0515097690941385
Hccs	chrX	169311530	169320343	-	8814	0.198717948717949	0.183406113537118	0.225296442687747
