Geneid	Chr	Start	End	Strand	Length	A11B2_ES_d10r1	A11B2_ES_d10r2	A11B2_ES_d1r3	A11B2_ES_d1r4
Msn	chrX	96096044	96168553	+	72510	0.25	0.319121447028424	0.262962962962963	0.268488745980707
Heph	chrX;chrX;chrX;chrX	96455435;96455435;96456345;96456345	96574484;96574484;96574484;96531423	+;+;+;+	119050	0	0.0652173913043478	0.133333333333333	0
Eda2r	chrX;chrX;chrX	97333840;97333840;97337774	97377209;97377209;97377209	-;-;-	43370	0.12564025308828	0.119602198377388	0.129955187866253	0.128810975609756
Ar	chrX	98149749	98317147	+	167399	0.00709219858156028	0.0109090909090909	0.0352941176470588	0.0396039603960396
Ophn1	chrX	98557514	98890985	-	333472	0.0872817955112219	0.116822429906542	0.120743034055728	0.186186186186186
Yipf6	chrX	98937780	98949020	+	11241	0.170263788968825	0.20532319391635	0.204047217537943	0.189189189189189
Stard8	chrX	99042580	99074728	+	32149	0.0106007067137809	0.00903614457831325	0.00740740740740741	0.009375
Pja1	chrX;chrX;chrX;chrX	99465733;99465733;99465733;99465733	99470735;99470735;99470735;99470735	-;-;-;-	5003	0.25	0.0714285714285714	0	0.444444444444444
Tmem28	chrX	99821068	99846345	+	25278	0	0	0	0
Eda	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	99975605;99975605;99975605;99975605;99975605;99975605;99975605;99975605;99975605	100400760;100400760;100400760;100400760;100400760;100400760;100400760;100400760;100400760	+;+;+;+;+;+;+;+;+	425156	0.02650290885585	0.0224242424242424	0.0309007232084155	0.0252307692307692
Awat2	chrX;chrX	100402221;100402221	100412587;100442717	-;-	40497	0.08	0.0444444444444444	0	0.104477611940299
Igbp1	chrX	100494290	100516125	+	21836	0.176240208877285	0.15327380952381	0.182054616384915	0.196870925684485
Pdzd11	chrX	100622905	100625907	-	3003	0.0277777777777778	0.0574712643678161	0.0483870967741935	0.0945945945945946
Kif4	chrX	100626064	100727271	+	101208	0.0760683760683761	0.0734797297297297	0.0940975192472198	0.112478031634446
Dlg3	chrX;chrX;chrX;chrX;chrX	100767721;100767721;100767721;100774494;100777270	100818410;100818410;100818410;100818410;100818410	+;+;+;+;+	50690	0.0909090909090909	0.0447761194029851	0.0576923076923077	0.0652173913043478
Tex11	chrX;chrX	100838647;100877881	101059639;101059639	-;-	220993	0.0266666666666667	0.0434782608695652	0.0273972602739726	0.072992700729927
Slc7a3	chrX	101079220	101085352	-	6133	0.0736086175942549	0.0590238365493757	0.07	0.0672645739910314
Snx12	chrX;chrX;chrX	101097785;101211960;101211960	101222563;101222563;101222563	-;-;-	124779	0.265895953757225	0.235221674876847	0.214618973561431	0.205307262569832
Foxo4	chrX	101254527	101260873	+	6347	0.0416666666666667	0.1	0.12	0.0294117647058824
Med12	chrX	101274090	101298934	+	24845	0.0930232558139535	0.144444444444444	0.150442477876106	0.157894736842105
Zmym3	chrX;chrX;chrX;chrX;chrX	101404383;101404383;101414929;101414929;101414933	101420222;101419914;101419914;101420222;101420685	-;-;-;-;-	16303	0.115151515151515	0.118811881188119	0.148148148148148	0.131782945736434
Nono	chrX;chrX	101429650;101429650	101448593;101448593	+;+	18944	0.501477104874446	0.337822671156005	0.326923076923077	0.340717299578059
Itgb1bp2	chrX	101449108	101453541	+	4434	0.0866141732283465	0.0932203389830508	0.115107913669065	0.0731707317073171
Taf1	chrX;chrX	101532734;101532734	101601789;101601789	+;+	69056	0.225849433710859	0.214055448098001	0.231506849315068	0.249240121580547
Ogt	chrX;chrX	101640050;101640217	101684351;101684351	+;+	44302	0.238656452563347	0.232179226069246	0.231445849367785	0.23462166575939
Nhsl2	chrX	101849384	102092055	+	242672	0.0662650602409639	0.0534351145038168	0.0267857142857143	0.0606060606060606
Pin4	chrX	102119464	102127673	+	8210	0.345238095238095	0.483516483516484	0.527027027027027	0.475609756097561
Ercc6l	chrX	102142819	102157091	-	14273	0.163179916317992	0.224576271186441	0.222772277227723	0.303921568627451
Rps4x	chrX	102184942	102188371	-	3430	0.20205066344994	0.160970231532525	0.204710144927536	0.213518635502211
Hdac8	chrX	102284639	102505148	-	220510	0.112449799196787	0.193832599118943	0.116858237547893	0.191972076788831
Phka1	chrX;chrX	102513974;102513974	102644246;102644246	-;-	130273	0.0673076923076923	0.136094674556213	0.0792079207920792	0.129251700680272
Nap1l2	chrX	103184058	103186664	-	2607	0	0.0606060606060606	0.0285714285714286	0.037037037037037
4930519F16Rik	chrX	103232280	103256606	-	24327	0.144230769230769	0.153246753246753	0.113695090439276	0.119565217391304
Chic1	chrX	103356475	103396118	+	39644	0.140583554376658	0.0926594464500602	0.13719512195122	0.136680613668061
